
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score
4	0.1825655231995678		0.4133333333333333		0.23976470897598595
5	0.18029524277559267		0.4195833333333333		0.2388402587822843
6	0.16867116787994446		0.4133333333333333		0.22788939375892406
7	0.16207139965221146		0.40625					0.21992709416697825
8	0.15286093397858103		0.39333333333333337		0.2104915824915825
9	0.15402830344006815		0.3875					0.21098446298938614
10	0.1524489918712257		0.38708333333333333		0.20897102703256354
11	0.1529816630399263		0.3875					0.20951141545789703
12	0.14870757503859602		0.38166666666666665		0.2042910077363711
13	0.14909053080402407		0.38166666666666665		0.20447840432995018
14	0.1512775153838887		0.38166666666666665		0.20695885955803436
15	0.1501530961816229		0.38166666666666665		0.2056253332851045
16	0.14544545689089033		0.375					0.19974401250478377
17	0.1451093224371088		0.375					0.19941748189253888
18	0.14901673468430435		0.38125					0.20434411498361796
19	0.1500015575409439		0.375					0.204073672241828
20	0.1484909848586824		0.36208333333333337		0.19942424318673377
21	0.14526819459357368		0.36208333333333337		0.19716468532691617
22	0.14526819459357368		0.36208333333333337		0.19716468532691617

n-grams(1-3)
df		 Precision 				 Recall 				 F-score
4	0.16342037630738704		0.4133333333333333		0.22490409213939783
5	0.16490137230158503		0.42625					0.22861871186120353
6	0.16011245239226707		0.42666666666666664		0.22451047159384654
7	0.1517693854802808		0.4195833333333333		0.21509108601295238
8	0.15452232450209552		0.4258333333333333		0.21926381682627646
9	0.15528386549131512		0.42000000000000004		0.21916219790498487
10	0.15649740561505268		0.4133333333333333		0.2182706909944764
11	0.15529085121015498		0.4133333333333333		0.21687975704962897
12	0.15785602162420342		0.42000000000000004		0.22031730949049763
13	0.15789780159084216		0.42000000000000004		0.22045545025477722
14	0.16335960487911375		0.4133333333333333		0.22346424933759973
15	0.162257444151375		0.4133333333333333		0.22215571846704774
16	0.15673007146536555		0.40083333333333326		0.21502215387508566
17	0.15650676535970653		0.40083333333333326		0.21486504230018805
18	0.1608396306136244		0.4070833333333333		0.22041937903099534
19	0.14864419231071152		0.38125					0.20499309701545787
20	0.14911272937588727		0.38125					0.2053563952937652
21	0.1454745968068473		0.38125					0.20243495743869774
22	0.14583110304570646		0.38125					0.20277509349311953
23	0.1459911811614598		0.38125					0.2028665143874961



