
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
2	0.3412890112514139		0.7737499999999999		0.4667745358231842		0.1
3	0.32802536094062035		0.7737499999999999		0.45460384785262054		0.1
4	0.3206565733791758		0.7737499999999999		0.44837537063873034		0.1
5	0.31854969268275724		0.7674999999999998		0.44491217701429403		0.1
6	0.3113363344070343		0.7549999999999999		0.43568704631737143		0.1
7	0.3043537297267032		0.7424999999999999		0.4266235884632568		0.1
8	0.3006944951668317		0.7424999999999999		0.4226836546223967		0.1
9	0.30197775117306447		0.7491666666666668		0.4252467385358349		0.1
10	0.2950332845688882		0.7491666666666668		0.41922171698648647		0.1
11	0.2973079380200123		0.7558333333333334		0.4226317558157291		0.1
12	0.28976783855380833		0.7495833333333334		0.414111096157345		0.1
13	0.2833087101068739		0.7495833333333334		0.40738854078012665		0.1
14	0.28261184599537564		0.7495833333333334		0.40666258796705945		0.1
15	0.2803326437161734		0.7433333333333334		0.40311884488843264		0.1
16	0.2765508822557019		0.7433333333333334		0.39964224682643607		0.1
17	0.26950239671549064		0.7370833333333333		0.39119354111779936		0.1
18	0.26763690495479164		0.7370833333333333		0.38933940491627955		0.1
19	0.2680622911534337		0.7433333333333333		0.3908057559512648		0.1
20	0.2629918282059979		0.7370833333333333		0.38408941544868164		0.1
21	0.2605437559160025		0.7495833333333333		0.3833446915935725		0.1

n-grams(1-2)
df		 Precision 				 Recall 				 F-score 				 C
3	0.38417173988227543		0.7170833333333333		0.49180761455124167		0.1
4	0.3702265127395964		0.7233333333333333		0.4810976459452762		0.1
5	0.3572354072821199		0.7299999999999999		0.47165834587773076		0.1
6	0.35228917726209835		0.7491666666666668		0.4724886779431488		0.1
7	0.34041804289060595		0.7429166666666667		0.4594174835095151		0.1
8	0.33388748939590157		0.7429166666666667		0.4532947786658149		0.1
9	0.330247461563251		0.7433333333333334		0.44949449467605973		0.1
10	0.32070451666801414		0.7366666666666667		0.43977100558101156		0.1
11	0.316210153899701		0.7433333333333334		0.43753036782131155		0.1
12	0.31203635270193725		0.7433333333333334		0.4330173461742226		0.1
13	0.3100746740297322		0.7370833333333333		0.42943872731391364		0.1
14	0.3037954879106445		0.7370833333333333		0.42287922144276485		0.1
15	0.29783534134774675		0.7370833333333333		0.41847296323302513		0.1
16	0.28689499040825456		0.7237499999999999		0.40612467490727466		0.1
17	0.28218599795660443		0.7174999999999999		0.39957966997110395		0.1
18	0.2822630685559742		0.7308333333333332		0.4030562344680623		0.1
19	0.28394778288122685		0.74375					0.4065179251087101		0.1
20	0.2819423130808387		0.7370833333333333		0.4034106295215164		0.1
21	0.2711379084324373		0.7433333333333333		0.39343094088478625		0.1
22	0.27506948106148893		0.7495833333333333		0.3986684846928396		0.1

n-grams(1-3)
df		 Precision 				 Recall 				 F-score 				 C
4	0.37142861867113225		0.7170833333333333		0.479850082485706		0.1
5	0.3556909359905212		0.7237499999999999		0.46968349111206253		0.1
6	0.34953590513955796		0.7299999999999999		0.46644401567860366		0.1
7	0.3389929838819514		0.7362499999999998		0.45683888264691797		0.1
8	0.33598179644133835		0.7362499999999998		0.4526678006879779		0.1
9	0.3339532835585467		0.7308333333333333		0.45050976491437505		0.1
10	0.3264311202469097		0.7308333333333333		0.44351242940564506		0.1
11	0.3184386074708655		0.7308333333333333		0.43781746592247		0.1
12	0.3121140896200628		0.7370833333333333		0.43154310819124975		0.1
13	0.31041233637787313		0.7308333333333333		0.4287821844098828		0.1
14	0.3045002348533635		0.7370833333333333		0.42360790849302205		0.1
15	0.2983242710759873		0.7304166666666667		0.4181001121400202		0.1
16	0.28566303708966406		0.7174999999999999		0.4038812994039951		0.1
17	0.2824766483631085		0.7174999999999999		0.40003497490009304		0.1
18	0.2803861916790973		0.7241666666666666		0.40003964321617697		0.1
19	0.2818138138057684		0.7370833333333333		0.40330201928251014		0.1
20	0.28344525320955527		0.7370833333333333		0.4051361395428044		0.1
21	0.2722014222100413		0.7433333333333333		0.3946033636654158		0.1
22	0.27620391101043956		0.7495833333333333		0.39985789890633944		0.1
23	0.27045441167961604		0.7495833333333333		0.39402730525506346		0.1



