publication_id	pmid	compound_id	compound  chebi_id
49	21775523	146	5-n-Nonadecylresorcinol (C19:0)	
49	21775523	147	5-n-Heneicosylresorcinol (C21:0)	
49	21775523	148	5-n-Tricosylresorcinol (C23:0)	
49	21775523	149	5-n-Pentacosylresorcinol (C25:0)	
49	21775523	144	Alkylresorcinols	
49	21775523	150	5-n-Heptadecylresorcinol (C17:0) / 5-n-Heneicosylresorcinol (C21:0)	
50	21389177	838	Lutein/Zeaxanthin	
50	21389177	84	beta-Cryptoxanthin	10362
50	21389177	86	Lycopene	15948
50	21389177	83	alpha-Carotene	28425
50	21389177	89	beta-Carotene	17579
50	21389177	315	Energy	
51	20576202	155	Thiamin	18385
51	20576202	156	Riboflavin	17015
51	20576202	159	Vitamin B6	
51	20576202	115	Vitamin B12	
51	20576202	670	Niacin	
51	20576202	160	Niacin (Niacin Equivalents)	
51	20576202	154	Pantothenic acid	46905
51	20576202	489	Folates	
51	20576202	134	Vitamin C	
51	20576202	157	4-Pyridoxic acid	17405
51	20576202	158	Nicotinamide metabolites	
51	20576202	161	Ascorbic acid metabolites	
51	20576202	605	Nicotinamide	17154
51	20576202	606	N-Methyl-2-pyridone-5-carboxamide	27410
51	20576202	607	N-Methyl-4-pyridone-3-carboxamide	27838
51	20576202	608	N-Methylnicotinamide	64399
51	20576202	236	Ascorbic acid	29073
51	20576202	590	L-Dehydroascorbic acid	27956
51	20576202	611	2,3-Diketogulonic acid	15622
52	21180982	87	Carotenoids	
52	21180982	84	beta-Cryptoxanthin	10362
52	21180982	838	Lutein/Zeaxanthin	
52	21180982	86	Lycopene	15948
52	21180982	83	alpha-Carotene	28425
52	21180982	89	beta-Carotene	17579
53	21346713	135	Retinol	17336
53	21346713	83	alpha-Carotene	28425
53	21346713	89	beta-Carotene	17579
53	21346713	86	Lycopene	15948
53	21346713	163	Vitamin D	
53	21346713	237	alpha-Tocopherol	18145
53	21346713	379	Phylloquinone	18067
53	21346713	155	Thiamin	18385
53	21346713	156	Riboflavin	17015
