ChEBIID	PubMedIDs
27300	22357739,22357739,22357739,22357739,22357739,23182389,23182389,23182389,15054442,15054442,15054442,15054442,16205744,3940928,21527900,21527900,21527900,21527900,21527900,24901094,24901094,24901094,24901094,24901094,24901094,24901094,24901094
34935	18155994,17908159,17908159,17908159,24085409,24085409,24085409,15333163,22437553,17381951,23636239,23673118,8563221,11555347,16465196,23287847,18171405,17299490,22412070,24477299,22614056,22347387,17142523,15003961,12879094,16127237
50906	9550636,21616200,15691625,23173177,20805084,1570817,23775014,23673118,21947088,20359723,24347344,22257370,17510462,17510462,1991968,24592585,22594919,22412070,15671684,19828688,20461205,16474599,20375264,9845229,20678905,15003961
25413	11063437,11063437,11063437,11063437,11063437,23493899,23493899,16469979,21984307,21984307,21984307,8379504,18938777,18938777,22699835,22699835,22699835,22699835,9234030,22347387,22347387,22347387,8006520,8006520,14870827
17351	11023139,11023139,11023139,16469979,18606902,18606902,18606902,18606902,18606902,8379504,8379504,8379504,8379504,8379504,23775014,19838922,8585694,12001981,22699835,17161237,11916268,11570993,11570993,21130894,21130894
17230	21414247,21414247,21414247,21414247,21414247,21414247,21414247,16762949,16762949,16762949,16762949,16762949,15668660,15668660,16373947,16373947,23287847,17921386,17087956,17087956,24760553,24760553,17927508,24169462
46662	22922514,22922514,19267950,19267950,19267950,19267950,19267950,19267950,19267950,19267950,19267950,12730404,23364022,23364022,19093161,22402311,22470037,22470037,22470037,22470037,22470037,22470037,22470037,22470037
27568	17951485,17951485,3981374,3981374,3981374,9846591,9846591,9846591,9846591,9846591,9846591,9846591,9846591,9846591,9846591,9846591,9846591,9846591,9846591,19329378,19329378,18938777,8063609
81572	23385969,23385969,20880683,20880683,20880683,20880683,20880683,20880683,20880683,20359723,20359723,23411109,20847399,20847399,20847399,20847399,16483880,16483880,16483880,23392875,23392875,23392875,23392875
53704	3214459,3214459,3214459,3214459,3214459,3214459,3214459,3214459,3214459,11023139,11023139,11023139,11023139,11023139,18418556,18418556,18418556,18418556,18418556,10195938,10195938,10195938
81571	24347344,24347344,24347344,24347344,24347344,24347344,21673483,22412070,22412070,15671684,19465494,19465494,19465494,20678905,20678905,20678905,20678905,20678905,20678905,20678905,20678905,23392875
28838	17951485,17374661,17374661,17374661,17374661,17374661,17374661,17374661,17374661,17374661,17374661,17374661,11722962,11722962,11722962,11722962,11722962,11722962,11722962,11722962,21729475
28619	17258374,17258374,17258374,17258374,17258374,17258374,17258374,17258374,17258374,17258374,18855107,18855107,18855107,18855107,18855107,18855107,18855107,18855107,18855107,18855107,18855107
15379	20459623,10780942,6134594,6134594,6134594,6134594,6134594,6134594,6134594,6134594,10373033,15194038,1914548,1914548,1914548,1914548,19909936,19909936,19909936,19909936,19909936
16199	17651532,17651532,17651532,17651532,17651532,17651532,17651532,17651532,17651532,17651532,17651532,17651532,11044231,9550636,9550636,12571671,19735348,6685141,6685141,6685141
24866	15136968,15136968,15136968,15136968,21776034,21776034,21776034,17586409,17586409,23478398,23478398,23478398,23478398,23478398,8248387,8248387,8248387,19967221,19967221,8921782
16991	20805084,20805084,14580860,14580860,14580860,23673118,20136444,24097406,24097406,21586177,21586177,21586177,21586177,21586177,21586177,21455057,23796695,23796695,17671440,17087956
16856	9846591,9846591,9846591,9846591,9846591,18938777,18938777,18938777,18938777,18938777,18938777,18938777,18938777,2535331,2535331,12505289,19088785,6864334,6864334,6864334
15843	23493899,22990856,21838914,21838914,21838914,21838914,21838914,21838914,21838914,21838914,21838914,8585694,8585694,22699835,12421348,11916268,19196525,19196525,2783205
25036	15897583,15897583,15897583,17353586,17353586,17353586,17353586,17353586,17353586,17353586,20980650,10744130,10744130,10744130,10744130,10744130,10744130,10744130,10744130
16189	7962322,20136444,11145117,11145117,17091466,6864334,6864334,6864334,6864334,15213040,15213040,15213040,15213040,15213040,15213040,15213040,15213040,15213040
18367	11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,17577663,22402311
27027	9169165,17951485,17381951,17381951,17381951,17381951,1600923,1600923,1600923,23016120,15685502,24760553,24760553,24760553,11570993,12879094,12879094
23888	2907164,3443147,3443147,20938914,20938914,20938914,20938914,20938914,20938914,20938914,20938914,20938914,10773192,10773192,14747639,1706024,12407914
30216	20169332,24085409,19787711,21861314,23235974,11555347,11555347,15230997,17299490,17299490,17299490,17161237,19214363,19214363,19214363,19967221
36080	24086269,11043928,11043928,21947088,16465196,6685141,3179835,3179835,24760553,24760553,24760553,24760553,9884134,9884134,19398656,19398656
18220	12094627,12094627,17353586,17353586,17353586,17353586,15054404,15054404,15054404,15054404,10744130,10744130,19093161,19093161,19093161,10798211
16347	6467897,6467897,6467897,11043928,11043928,11043928,11043928,11043928,11043928,11043928,11043928,11043928,11043928,11043928,15671684,15671684
16170	22841050,22963454,9846591,18987591,18987591,18987591,18987591,18987591,18987591,18987591,18987591,18987591,18987591,18987591,18987591
27596	21527577,21527577,21527577,21527577,21527577,21527577,21527577,21527577,21527577,21527577,23452466,23452466,1706024,3683186,3683186
46882	10780942,10780942,10780942,23452466,11043928,11043928,11043928,12198399,1706024,2056153,6101930,6101930,6101930,6864334,15213040
28364	16962297,22990856,22990856,21838914,21838914,21838914,21838914,21838914,8585694,8585694,8585694,21755327,21755327,22591904,11471865
16737	11044231,11044231,11044231,11044231,11044231,22859618,22859618,17925592,11981061,24477299,6746851,6746851,6746851,10511259
34687	20633266,20633266,20633266,20633266,21776034,24133617,24133617,24133617,20461205,20461205,20461205,20461205,15003961,15003961
15891	23385969,6864334,19398656,19398656,19398656,19398656,19398656,19398656,19398656,23392875,23392875,23392875,23392875,23392875
18185	17381951,17381951,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997
28073	8460607,8460607,8460607,8460607,8460607,8460607,8460607,8460607,8460607,8460607,8460607,8460607,8460607,8460607
27306	9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690
17775	9550636,2254779,23173177,23173177,23173177,23173177,23173177,22402311,22402311,22402311,22402311,22402311,22402311
16134	17651532,17651532,17651532,17651532,17651532,17651532,17651532,17651532,17651532,21867578,6685141,6685141
27547	17951485,17374661,17374661,11722962,11722962,11722962,11722962,11722962,11722962,11722962,11722962,21729475
33699	24085409,24085409,22389237,22389237,20403085,19807166,17510462,17161237,17161237,17161237,17161237,21128828
17650	7962322,7962322,7962322,7962322,7962322,23364022,12915635,12915635,12915635,12915635,12915635,12915635
50114	22389237,19384973,19384973,19384973,12730404,12730404,15897583,11145117,11145117,69101,19093161,9457744
26607	23493899,23493899,23493899,9625087,8379504,8017331,9234030,9234030,8436092,8436092,8921782,8921782
47136	23861300,23861300,14757379,14757379,14757379,7510429,7510429,7510429,7510429,7510429,7510429,7510429
15727	11160547,11160547,11160547,11160547,11160547,11160547,11160547,11160547,11160547,11160547,11160547,11160547
16828	1722997,1722997,1722997,1722997,1722997,1722997,1722997,1722997,1722997,1722997,1722997,9394690
17909	6864334,15213040,15213040,15213040,15213040,15213040,15213040,15213040,15213040,15213040,15213040,15213040
23042	21414247,21414247,21414247,1600923,17299490,8347746,11570993,11570993,11570993,9126539,9126539
47916	21414247,21414247,21414247,21947088,21947088,21947088,23287847,22914551,22914551,22914551,22914551
28659	11044231,11044231,11044231,15054442,21880447,21880447,6685141,6685141,6685141,6685141,19093161
16449	17299464,18469252,22699835,22699835,22699835,22699835,9394690,9394690,18674555,18674555,23692391
18248	23743666,23743666,23743666,23743666,23743666,23743666,23743666,23743666,1600923,8063609,11471865
59132	15186955,15186955,22389237,15755826,17381951,19329378,14756193,20980650,12037693,12037693,12037693
17347	7962322,7962322,7962322,7962322,7962322,7962322,7962322,10798211,10798211,10195938,10195938
17401	19267950,19267950,19267950,19267950,19267950,19267950,19267950,19267950,19267950,19267950,19267950
40304	22464667,22464667,22464667,22464667,22464667,22464667,18938777,18938777,18938777,18938777,18188415
38757	12730404,12094627,21947088,17353586,17353586,15054404,15054404,19093161,19093161,19093161,19093161
36976	17577663,17577663,17577663,17577663,17577663,17577663,23673118,21586177,17671440,19828688,23482652
27514	12094627,17353586,17353586,15054404,15054404,15054404,10744130,10744130,19093161,19093161,19093161
15889	19807166,1527639,18400724,18400724,18400724,18400724,18400724,18400724,18400724,18400724,18400724
16643	11043928,11043928,11043928,11043928,11043928,17921386,6864334,6864334,6864334,6864334,6864334
17606	18171405,18171405,11360133,11360133,11360133,11360133,11360133,11360133,11360133,11360133,11360133
17895	6101930,6101930,6101930,6101930,6101930,3179835,3179835,3179835,3179835,3179835,3179835
17790	12170122,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089
28689	7962322,7962322,7962322,7962322,7962322,7962322,11145117,11145117,11145117,11145117
17632	25049524,25049524,25049524,25049524,25049524,1991968,1991968,1991968,1991968,1991968
53498	25049524,23287847,23287847,23287847,23287847,23287847,23287847,18469252,18469252,18469252
16830	12571671,12571671,12571671,12571671,12571671,12571671,12571671,12571671,12571671,20045014
75769	12571671,12571671,12571671,12571671,12571671,12571671,12571671,12571671,12571671,12571671
35701	16469979,17374661,9925119,9925119,18188415,11570993,2783205,2783205,2783205,2783205
17002	16469979,17374661,9925119,9925119,18188415,11570993,2783205,2783205,2783205,2783205
16335	6134594,6134594,6134594,6134594,6134594,6134594,6134594,6134594,6134594,6864334
12777	16205744,6695977,6695977,6695977,19116317,19116317,19116317,21353477,21353477,21353477
35143	24052516,18418556,15321807,24592585,24592585,18855107,18855107,8436092,8063609,22507619
3892	2907164,2907164,2907164,2907164,2907164,2907164,2907164,2907164,2907164,2907164
52027	12453956,12453956,12453956,12453956,12453956,18938777,2056153,8460607,18469252,2165094
28384	19025725,19025725,19025725,19025725,19025725,19025725,19025725,19025725,19025725,19025725
3815	22357739,15054442,15054442,12003913,12003913,12003913,19765953,19765953,19765953
34533	23758041,23758041,23758041,23758041,23758041,23758041,23758041,23758041,23758041
16814	7962322,7962322,7962322,7962322,11145117,11145117,11145117,11145117,11145117
33697	22171008,1722997,1722997,1722997,1722997,1722997,17161237,7510429,7510429
61599	19329378,19329378,19329378,19329378,19329378,20980650,20980650,20980650,20980650
26710	3904334,2056153,2056153,2056153,2056153,2056153,2056153,2056153,2056153
30411	1600923,24169462,24169462,24169462,24169462,24169462,24169462,24169462,24169462
22652	11044231,11044231,11044231,11273853,18469252,12879094,12879094,12879094
42638	20633266,20633266,20633266,20633266,20633266,16483880,16483880,16483880
50112	7962322,19384973,19384973,12094627,12094627,12094627,10195938,10195938
78059	21776034,21776034,21776034,19025725,21455057,21455057,21455057,19828688
26195	23493899,23493899,21947088,21947088,21867578,21867578,21867578,24477299
28125	23493899,20359723,21838914,8585694,22591904,22699835,12421348,11916268
76181	16469979,16469979,16469979,16469979,16469979,16469979,19807166,19807166
73571	16469979,16469979,16469979,16469979,16469979,16469979,16469979,16469979
566274	20459623,20459623,20459623,20459623,20459623,21586177,21586177,1527639
45615	11981061,12730404,12730404,12730404,12730404,12730404,20386999,20386999
15377	20045014,20045014,23679960,2056153,2056153,18987591,23392875,23392875
33704	10780942,10780942,10780942,23452466,1706024,6101930,6101930,6864334
28197	12094627,17353586,17353586,15054404,15054404,15054404,10744130,10744130
29105	22171008,22171008,22171008,22171008,24133617,24133617,24133617,24133617
33731	19748245,19748245,19748245,19748245,19748245,11464259,24760553,22614056
15354	17921386,17921386,17921386,17921386,17921386,17921386,17921386,17921386
50753	10744130,10744130,10744130,10744130,10744130,10744130,10744130,10744130
17295	6101930,6101930,6101930,6101930,6101930,19465494,19465494,19465494
10545	24464602,24464602,24464602,24464602,14528606,11097801,17299490
17336	9169165,9169165,9169165,9169165,6695977,19116317,19116317
35218	17299464,17299464,17299464,17299464,22914551,22914551,22914551
39015	3214459,11023139,8563221,18418556,15623835,17510462,9925119
28017	17258374,19807166,8563221,8921782,21736804,21736804,21736804
30212	18342385,23182389,19054786,23861300,17921386,16126558,16126558
16196	11023139,14647227,21984307,19838922,8006520,8006520,8006520
24996	20459623,1914548,1914548,1914548,1914548,1914548,1914548
60411	23134716,23134716,11555347,1281223,1281223,1281223,1281223
25367	15755826,20579405,23411109,23411109,21755327,21755327,18674555
53156	23861300,14757379,14757379,14757379,14757379,14757379,14757379
9584	9846591,9846591,14756193,3179835,3179835,18674555,11360133
8027	9846591,9846591,9846591,9846591,9846591,18938777,19088785
7719	16901602,16901602,16901602,16901602,16901602,16901602,16901602
17750	17921386,17921386,17921386,17921386,17921386,17921386,17921386
16243	18188415,18188415,18188415,18188415,18188415,18188415,18188415
88795	18188415,11570993,2783205,2783205,2783205,2783205,2783205
140399	12421348,12421348,12421348,12421348,12421348,12421348,12421348
15414	24760553,24760553,24760553,24760553,24760553,24760553,24760553
16680	24760553,24760553,24760553,24760553,24760553,24760553,24760553
38224	15764338,15764338,15764338,15764338,15764338,15764338,15764338
31991	17299464,17299464,17299464,17299464,17299464,17299464
16670	11063437,15194038,24574190,24574190,20386999,20386999
28694	3981374,3981374,20136444,18418556,1600923,18188415
47867	24085409,19672114,11097801,3683186,3683186,22577089
16330	7962322,7962322,7962322,7962322,7962322,10798211
18019	21039313,11043928,11043928,11043928,11043928,11043928
141213	17925592,15054442,10780942,6134594,23016120,11570993
25107	7759851,7759851,19735348,6685141,6685141,22402311
73878	19787711,9625087,12198399,16483880,11916268,10549992
15756	16469979,21984307,21729475,8006520,8006520,8006520
17026	19384973,19384973,19384973,23385969,23385969,15897583
16469	19384973,19384973,11145117,10798211,10798211,9457744
15035	21521543,11722962,11722962,11722962,11722962,11722962
77853	23861300,23861300,23861300,23861300,23861300,23861300
75830	23679960,23679960,23679960,3949945,3949945,11002386
28645	24500922,24500922,24500922,24500922,24500922,24500922
80757	9846591,9846591,9846591,9846591,9846591,9846591
35222	19807166,19807166,12003913,16549461,1991968,18674555
16467	23452466,1991968,1991968,1991968,1991968,22614056
5133	2907164,12003913,17510462,17980786,21755327,22914551
50404	8563221,3655625,6983876,6983876,8436092,8436092
15971	11160547,11160547,11160547,11160547,11160547,11160547
15948	17158438,17158438,1764701,1764701,21755327,16127237
29320	18938777,15054404,18469252,11916268,11722962,15213040
10362	9169165,9169165,17951485,17381951,16127237
37708	17299464,17299464,22426755,22426755,23692391
17754	20633266,20633266,20633266,20633266,20633266
15440	23758041,23758041,23758041,23758041,23758041
37690	19787711,24592585,2056153,1914548,18469252
28621	19384973,3655625,3655625,3655625,10037556
17297	17577663,17577663,17577663,17577663,17577663
36751	21984307,21984307,21984307,21984307,21984307
19891	22437553,22437553,22437553,22437553,22437553
28938	18383031,18383031,22402311,22402311,22402311
25879	18383031,3443147,9394690,3683186,19023680
47773	3728359,3728359,3728359,3728359,6983876
48705	2907164,2907164,2907164,2907164,2907164
28940	17456248,17456248,17456248,17456248,17456248
25681	19838922,16962297,11002386,17299490,14870827
62034	24097406,24097406,24097406,24097406,24097406
87631	20938914,20938914,20938914,17921432,17921432
17858	18938777,18938777,18938777,18938777,18938777
145457	3904334,3904334,3904334,22914551,22914551
76989	17353586,10744130,10744130,10744130,10744130
50188	19116317,19116317,19116317,19116317,19116317
67200	19116317,19116317,19116317,19116317,19116317
3732	12001981,17161237,17161237,17161237,17161237
27997	22043987,22043987,22043987,22043987,22043987
15356	6864334,6864334,6864334,6864334,6864334
24190	17299464,12198399,1978304,23692391
76649	17299464,17299464,25049524,23692391
80270	11063437,11063437,11063437,11063437
29309	22841050,16901602,17921386,24169462
30245	3214459,3214459,3214459,2783205
33521	22963454,22963454,19329378,10511259
63005	25049524,25049524,25049524,25049524
6339	17925592,17925592,17925592,17925592
16044	21776034,6864334,6864334,6864334
27563	20045014,20045014,20045014,20045014
17568	17577663,17577663,17577663,17577663
17310	17577663,9394690,9394690,9394690
137741	9846591,9846591,9846591,9846591
60311	9846591,9846591,3179835,3179835
73364	2907164,2907164,2907164,2907164
131701	21274973,21274973,21274973,21274973
16827	10773192,10773192,10773192,10773192
17627	24592585,24592585,24592585,24592585
18132	17921386,17921386,17921386,17921386
33848	8319640,8319640,23899213,23899213
48010	12421348,12421348,12421348,12421348
16709	24760553,24760553,24169462,24169462
16716	17927508,17927508,17927508,12407914
15343	9884134,1755523,1755523,1755523
63933	7510429,7510429,7510429,7510429
28716	8006520,8006520,8006520,14870827
132943	12170122,12198399,23692391
82594	17951485,17951485,8063609
133748	9550636,23493899,23493899
35674	2254779,1706024,22347387
33250	3981374,19807166,22470037
3498	22922514,22922514,22922514
63620	15136968,15136968,15136968
81573	22420611,22420611,23385969
18357	20633266,3904334,3904334
16422	7962322,7962322,7962322
35341	7962322,7962322,11145117
27594	21616200,21616200,23861300
41423	17925592,17925592,17925592
59527	17925592,17925592,17925592
27013	22389237,17299490,17299490
137431	15691625,14747639,16126558
17823	11981061,11981061,11981061
15713	17577663,17577663,17577663
25048	21984307,21984307,12421348
5692	23861300,23861300,23861300
39421	23861300,23861300,23861300
15422	24500922,24500922,24500922
73526	19838922,20136444,20136444
42504	19838922,19838922,9925119
29022	12163659,12163659,12163659
33937	15897583,15897583,3443147
18421	18418556,21867578,19088785
18282	24097406,21586177,21455057
32585	18938777,18938777,18938777
30049	18938777,18938777,18938777
27584	3904334,3904334,3904334
6698	17353586,10744130,10744130
78295	11145117,22594919,19093161
33232	12915635,17091466,22594919
80332	20980650,20980650,17161237
34922	12505289,17921386,24760553
30785	18987591,18987591,18987591
135063	17921386,17921386,17921386
32798	12001981,12001981,12001981
61159	12001981,17161237,21130894
49325	69101,69101,69101
30019	18469252,22402311,22402311
15603	6101930,6101930,6101930
16414	6101930,6101930,6101930
17405	9394690,9394690,9394690
17992	17684141,17684141,17684141
27915	22402311,22402311,22402311
6541	12037693,12037693,12037693
28057	21736804,21736804,21736804
37807	12170122,17091466
15341	12170122,23899213
25434	17622289,3947186
132952	9550636,9550636
18291	3981374,3981374
48706	15136968,21455057
9339	22963454,9184742
28918	20633266,3904334
46931	20633266,20633266
50505	21616200,21616200
73224	21039313,21039313
15552	17925592,18674555
39027	11023139,11002386
74707	21776034,21776034
60004	22389237,17161237
30145	23493899,23493899
28304	23493899,23493899
32142	23493899,23493899
50113	19384973,19384973
142659	20459623,20459623
16223	20045014,20045014
29242	20045014,20045014
29678	20045014,20045014
17659	17577663,17577663
16695	17577663,17577663
17677	17577663,17577663
59520	17577663,17577663
18405	17577663,24169462
50627	19807166,19807166
16110	17374661,1600923
85429	18383031,16624837
30089	18383031,18383031
62947	18383031,18383031
35498	10373033,10373033
135990	2907164,2907164
29287	23235974,16710079
32955	19025725,7510429
18067	19025725,19025725
25185	19025725,19025725
31225	3443147,3443147
9150	20938914,20938914
32111	10773192,10773192
74926	23411109,23411109
2719	24655490,12037693
65004	17353586,17353586
77058	2535331,2535331
24870	2535331,18674555
8583	2535331,2535331
3567	17091466,17091466
25351	22563862,22563862
32952	12505289,9394690
4056	12505289,11761118
68449	12505289,11761118
88902	10744130,10744130
34741	10744130,10744130
37684	7355785,17299490
53371	6983876,6983876
15361	17161237,17161237
27551	23796695,23796695
10072	9394690,9394690
24632	8319640,23899213
33658	8319640,23899213
18385	24760553,24760553
17263	10798211,10798211
24043	22914551,22914551
60151	24574190,24574190
9937	22614056,22614056
17478	16126558,7510429
38407	12407914,12407914
33418	20375264,10511259
46195	6864334,6864334
15355	9884134,9884134
16566	15764338,15764338
16393	15764338,15764338
28102	21736804,21736804
80330	20386999,20386999
17289	21130894,21130894
29237	12170122
75958	12170122
89825	12170122
87248	12170122
27823	12170122
131189	17908159
142058	22859618
82625	22859618
29337	11063437
46020	22841050
16234	22841050
85062	22841050
62805	22841050
38545	22420611
50122	22420611
132950	22357739
46883	22357739
29239	22963454
64047	22963454
28939	17258374
50249	25049524
16301	25049524
78870	25049524
17737	3675704
30361	21039313
52221	21039313
50534	21039313
351346	21039313
47807	21039313
133538	21039313
26995	17925592
28667	17925592
26340	17925592
73616	21776034
73704	21776034
26333	22389237
15551	22389237
16919	23493899
15347	23493899
30860	12571671
28727	16469979
15428	20459623
71940	23134716
139306	19406265
23808	20045014
17826	20045014
48765	20045014
145669	20403085
50780	20403085
73573	15054442
45658	21770373
22063	21770373
17239	17577663
17097	23861300
18153	23861300
38826	23861300
33543	23861300
34202	23861300
5391	10780942
16857	10780942
64317	6134594
25442	16901602
24400	12094627
27727	12094627
22888	14757379
17984	19807166
18053	19807166
29021	18383031
77608	10373033
18257	23452466
35008	2907164
35474	2907164
28790	2907164
89510	12163659
16336	12003913
51246	14756193
30225	21274973
23414	20136444
32772	21947088
28802	21947088
18152	21947088
23053	21947088
44520	21947088
30778	21947088
23357	19025725
28371	19025725
24103	15321807
26667	12198399
142593	18938777
63248	18938777
26666	21867578
27314	15230997
17996	3904334
10415	6306619
15866	6306619
7459	6306619
81556	17353586
35350	23364022
16962	23364022
22563	23364022
17258	21586177
16898	21586177
18246	20980650
17051	2535331
39561	17091466
15858	17091466
35225	17091466
48551	1991968
33281	1991968
25858	12505289
50903	12505289
38559	12505289
28177	2056153
78364	2056153
81580	2056153
26267	23287847
50733	23287847
30786	18987591
50860	18987591
4670	1914548
36009	15685502
27432	20335630
16946	9394690
26643	17671440
32594	12465730
18258	3179835
305790	3179835
18303	12421348
39106	23899213
25297	17087956
48121	11916268
33942	19465494
81568	10195938
145500	22914551
38697	22914551
42491	22914551
26130	11722962
41609	22402311
52254	22402311
50342	23521326
53261	24169462
133305	18674555
15765	18674555
18243	18674555
73685	18674555
34543	22614056
36796	12861145
26541	21729475
15040	21729475
24335	6864334
26834	6864334
32639	6864334
73491	22470037
30879	23692391
34480	7510429
16509	7510429
138152	15992645
