ChEBIID	PubMedIDs
33284	17951485,11273853,11273853,11273853,15054442,15054442,15054442,18606902,20805084,20805084,20805084,23385969,23385969,17381951,17381951,15668660,15668660,16205744,16205744,16205744,16205744,19735348,19735348,19735348,19735348,24052516,14528606,14528606,14756193,22257370,23939542,23939542,15230997,15230997,16465196,16465196,16465196,1722997,1706024,6685141,18171405,18171405,18171405,18171405,18171405,15685502,15685502,17299490,17299490,17299490,17299490,17671440,23478398,24760553,9234030,21917262,21917262,16710079,16710079,16710079,16710079,16710079,16710079,16710079,11570993,11570993,11570993,11570993,11570993,9457744,21729475,21729475,21729475,21729475,22347387,20375264,20375264,20375264,17161227,20678905,20678905,15003961,12879094,9126539,12921885,21353477,21353477,21353477,20386999
22984	11044231,11044231,11044231,11044231,11044231,11044231,11044231,11044231,11044231,11044231,11044231,9550636,9550636,9550636,9550636,9550636,15136968,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,7759851,7759851,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,15054442,6134594,6134594,12163659,12163659,12163659,12163659,12163659,12163659,3940928,3940928,3940928,19765953,19765953,19765953,19765953,19765953,19765953,19765953,19765953,15685502,19093161,19093161,21527900,21527900,21527900,24901094,20461205,20461205,20461205,20461205,20461205
5931	17622289,17622289,11063437,11063437,11063437,11063437,11063437,22420611,22420611,22420611,22420611,22420611,11023139,21521543,21521543,21521543,20403085,20403085,23385969,23385969,23385969,23385969,23385969,19807166,19807166,19807166,19807166,19807166,12453956,19748245,19748245,20359723,20359723,20359723,20359723,24347344,15623835,15623835,23939542,23939542,23939542,23939542,23939542,23939542,23939542,15321807,15321807,17980786,23411109,23411109,23411109,23411109,20847399,20847399,20847399,20847399,6306619,1722997,1722997,1722997,16549461,20980650,20980650,20980650,22855341,16483880,21673483,20335630,20335630,17161237,17161237,17161237,17161237,11237932,8436092,21128828,21736804,21130894,21130894
17234	17908159,17908159,17908159,17908159,17908159,23743666,23743666,22166897,22166897,22166897,22166897,24086269,24086269,22420611,18342385,11023139,23493899,21521543,20403085,20403085,24500922,24500922,23385969,19807166,23775014,24052516,24052516,24052516,24052516,24052516,24052516,24052516,24052516,12453956,19748245,19748245,22426755,23939542,23939542,23939542,15321807,15321807,21867578,21880447,21880447,21880447,16549461,18188415,18188415,21673483,21673483,21673483,21673483,20335630,11002386,11002386,11002386,17161237,17161237,17161237,17161237,17161237,17161237,17161237,22614056,21128828,21128828,17161227,21130894,21130894
26208	11063437,11063437,11063437,11063437,11063437,11063437,23493899,23493899,23493899,9625087,19406265,19406265,19406265,19406265,19406265,15755826,15755826,15755826,15755826,15755826,15755826,15755826,18606902,18606902,19838922,16962297,20359723,18938777,18938777,18938777,1600923,8585694,21755327,21755327,21755327,22591904,22591904,22591904,22591904,22591904,22591904,22591904,15685502,20335630,22699835,22699835,22699835,22699835,22699835,6983876,23796695,23796695,17671440,17671440,17671440,11916268,11916268,11916268,9234030,9234030,11570993,23887855,23887855,23887855,23887855,23887855,23887855,23887855,14870827
18145	9169165,9169165,9169165,9169165,9169165,11273853,11273853,11273853,11273853,11273853,11273853,11273853,11273853,22389237,11160547,11160547,11160547,11160547,11160547,11160547,11160547,12453956,12453956,12453956,12453956,12453956,12453956,12453956,12453956,12453956,12453956,12453956,14528606,14528606,14528606,14528606,14528606,14528606,14528606,14528606,14528606,18938777,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,16465196,16465196,16465196,1600923,23287847,18469252,18469252,11570993,11570993,11570993,11570993,9126539,9126539
27470	17951485,17951485,17951485,12571671,12571671,15668660,15668660,15668660,15668660,15668660,15668660,23673118,23673118,23673118,23673118,23673118,23673118,23673118,23673118,16373947,16373947,16373947,16373947,17921386,17921386,17921386,17921386,17921386,17087956,17087956,17087956,17087956,17087956,17927508,17927508,17927508,17927508,17927508,17927508,17927508,17927508,17927508,17927508,24169462,24169462,24169462,24169462,24169462,24169462,24169462,12701636,12701636,12701636,12701636,12701636,12064348,12064348,12064348,12064348,12064348,12064348,12064348,12064348,12064348,12064348
6495	17622289,17622289,22166897,22166897,3214459,3214459,11023139,23493899,14580860,17374661,8563221,3655625,3655625,10037556,10037556,10037556,10037556,10037556,3684977,3684977,3684977,3684977,3684977,3684977,20136444,20359723,22257370,2304504,2304504,21867578,24133617,16483880,16483880,21673483,11002386,11002386,11002386,6983876,6983876,3179835,22412070,22412070,15671684,24574190,24574190,24574190,24574190,8436092,8436092,17161227,17161227,9845229,9845229,17142523,17142523,17142523,17142523,17142523,17142523,17142523,8006520,8006520,21130894
17855	17622289,11063437,11063437,11063437,22420611,14580860,24500922,19828690,19807166,19807166,15668660,23299375,6467897,6467897,6467897,6467897,6467897,3728359,10037556,19748245,22426755,2304504,15623835,18929595,18929595,15321807,15321807,15321807,21586177,8585694,21755327,12001981,12001981,16483880,16483880,16483880,69101,69101,21673483,6983876,12465730,12465730,12465730,12465730,15671684,15671684,19088785,19828688,11237932,11237932,11237932,11237932,11237932,11237932,11237932,1527639,8436092,21128828,17161227,8988942,8988942,8988942
58972	26676347,17299464,22841050,20633266,20633266,25049524,25049524,21616200,21616200,21616200,21616200,3675704,12571671,17707887,20459623,20459623,21527577,21770373,14580860,20579405,19828690,14757379,6467897,6695977,10037556,11097801,2304504,21838914,15623835,9786601,22878474,23411109,24655490,3949945,1600923,1600923,24133617,21586177,21586177,21455057,11464259,19116317,18171405,12001981,19093161,6101930,6101930,8248387,24901094,1527639,24574190,20678905,9126539,8006520,1755523,1755523,19398656,20386999,19023680,19023680
